"search-number","evaluation","evals-requested-so-far","sun-brightness*","albedo*","initial-clouds*","night*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","57","160","0.8","0.35000000000000003","56","0","""479947222""","1.7663982898407369","2.1081473077110733","1.9848769617310105","0.11136373421606774","1.7663982898407369"
"1","58","160","0.8","0.35000000000000003","56","0","""458538465""","2.0899759507751003","2.2528982910348727","2.1293526043018067","0.041135402620177036","2.0899759507751003"
"1","59","160","0.8","0.35000000000000003","56","0","""-1701526319""","2.406543261147309","2.6425116852109856","2.524880443518406","0.08797462448884084","2.406543261147309"
"1","60","160","0.8","0.35000000000000003","56","0","""-1870284650""","2.2000794439979074","2.232375368622769","2.2053917727988033","0.007678490851413632","2.2000794439979074"
"1","61","160","5","0.25","68","0.6000000000000001","""-552067448""","1.3908728214808708","1.6416003226393858","1.55716997044909","0.07667768899965458","1.3908728214808708"
"1","62","160","5","0.25","68","0.6000000000000001","""-579677630""","1.9710431182201162","2.2425056355170554","2.086683242041438","0.07386861193399426","1.9710431182201162"
"1","63","160","5","0.25","68","0.6000000000000001","""-1637920761""","1.4519828864210726","1.5589929007430197","1.5127739929649733","0.028206436748702195","1.4519828864210726"
"1","64","160","5","0.25","68","0.6000000000000001","""934485992""","2.2000363613254663","2.2003976155786464","2.200151304546623","1.0058798748421803E-4","2.2000363613254663"
"1","65","160","5","0.25","68","0.6000000000000001","""-239277706""","2.3339501641756293","2.4019106294276416","2.3829706974451024","0.02370025998786502","2.3339501641756293"
"1","66","160","5","0.25","68","0.6000000000000001","""1850541431""","1.2888729973937103","1.8107412553074376","1.51370585267269","0.16149647604843712","1.2888729973937103"
"1","67","160","5","0.25","68","0.6000000000000001","""-564690359""","1.2595417359339347","1.508410706164696","1.3734160617531839","0.07288103085241115","1.2595417359339347"
"1","68","160","5","0.25","68","0.6000000000000001","""-1002615384""","2.0048895405852054","2.0534677293591983","2.020346060326229","0.013526158380902835","2.0048895405852054"
"1","69","160","5","0.25","68","0.6000000000000001","""-955067308""","2.0506059167500172","2.2006700725370987","2.141242767763413","0.05154694128743175","2.0506059167500172"
"1","70","160","5","0.25","68","0.6000000000000001","""1091233762""","2.6964660461670995","2.765915159267607","2.7248593194821566","0.016970055336752242","2.6964660461670995"
"1","71","160","0","0.55","45","0.5","""232988434""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","72","160","0","0.55","45","0.5","""-813241103""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","73","160","0","0.55","45","0.5","""907286120""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","74","160","0","0.55","45","0.5","""-954998597""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","75","160","0","0.55","45","0.5","""30573509""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","76","160","0","0.55","45","0.5","""1550386329""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","77","160","0","0.55","45","0.5","""-849126862""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","78","160","0","0.55","45","0.5","""-1562161048""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","79","160","0","0.55","45","0.5","""282272380""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","80","160","0","0.55","45","0.5","""-1565323069""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","81","160","0.4","1","50","0.7000000000000001","""1058625718""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","82","160","0.4","1","50","0.7000000000000001","""799736460""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","83","160","0.4","1","50","0.7000000000000001","""-100445979""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","84","160","0.4","1","50","0.7000000000000001","""-400045779""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","85","160","0.4","1","50","0.7000000000000001","""1339406766""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","86","160","0.4","1","50","0.7000000000000001","""-203871481""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","87","160","0.4","1","50","0.7000000000000001","""1494552174""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","88","160","0.4","1","50","0.7000000000000001","""1187081062""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","89","160","0.4","1","50","0.7000000000000001","""1392384157""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","90","160","0.4","1","50","0.7000000000000001","""2078724636""","3.0000000000000018","3.0000000000000018","3.0000000000000004","0","3.0000000000000018"
"1","91","160","3.8000000000000003","0.35000000000000003","65","0.7000000000000001","""1926830451""","2.5045804764595214","2.527406022954642","2.51277729120655","0.006485290298791467","2.5045804764595214"
"1","92","160","3.8000000000000003","0.35000000000000003","65","0.7000000000000001","""1137143805""","2.2383144433898323","2.385651040467307","2.3026367271013157","0.046973212736487475","2.2383144433898323"
"1","93","160","3.8000000000000003","0.35000000000000003","65","0.7000000000000001","""-547844035""","2.7001270637306067","2.7007602509360407","2.70035444572228","1.799038126695318E-4","2.7001270637306067"
"1","94","160","3.8000000000000003","0.35000000000000003","65","0.7000000000000001","""1119511551""","2.405778938929828","2.4345766940104294","2.41612041590504","0.00818213932757709","2.405778938929828"
"1","95","160","3.8000000000000003","0.35000000000000003","65","0.7000000000000001","""-1026227060""","2.4339756525907603","2.5011979165141067","2.476850290753818","0.02447470269426585","2.4339756525907603"
"1","96","160","3.8000000000000003","0.35000000000000003","65","0.7000000000000001","""-1009844667""","2.7773880987291513","2.900000143062382","2.8577575001790945","0.04133628365593786","2.7773880987291513"
"1","97","160","3.8000000000000003","0.35000000000000003","65","0.7000000000000001","""341012606""","2.4204454910357054","2.5000666822152198","2.4557685173687074","0.026606055348741556","2.4204454910357054"
"1","98","160","3.8000000000000003","0.35000000000000003","65","0.7000000000000001","""-560269790""","2.221466125522287","2.328436666798858","2.259880001414406","0.03039292021970913","2.221466125522287"
"1","99","160","3.8000000000000003","0.35000000000000003","65","0.7000000000000001","""-130102177""","2.554263573739135","2.6038098260438005","2.592787088291631","0.015271308582373643","2.554263573739135"
"1","100","160","3.8000000000000003","0.35000000000000003","65","0.7000000000000001","""-16981231""","2.03409495505999","2.1841675412778407","2.0940857741722643","0.046277573964814425","2.03409495505999"
"1","101","160","1","0.1","14","0.2","""-1749447821""","3.585383877120698","5.269419365499548","4.153582193168282","0.4918222083530489","5.269419365499548"
"1","102","160","1","0.1","14","0.2","""278706665""","4.968383618883504","5.963414941852577","5.452317917839083","0.2780554805415431","5.963414941852577"
"1","103","160","1","0.1","14","0.2","""896237107""","4.118512222554447","5.446515946120119","4.724730988704699","0.40876463895099985","5.446515946120119"
"1","104","160","1","0.1","14","0.2","""-1044519284""","2.1970413274278116","3.440959670390651","2.7650294892987017","0.3343113423405654","3.440959670390651"
"1","105","160","1","0.1","14","0.2","""-1138355838""","4.297550307612507","5.6160796306314005","4.818920975634065","0.36092293212343374","5.6160796306314005"
"1","106","160","1","0.1","14","0.2","""987231922""","5.057133939345004","5.44284234152985","5.349377399070074","0.09618733869860535","5.42385474525177"
"1","107","160","1","0.1","14","0.2","""323414372""","2.924929386892952","4.36641396522737","3.450559407373209","0.42804296516419654","4.36641396522737"
"1","108","160","1","0.1","14","0.2","""805886447""","3.766153866654985","4.67569992916825","4.276244454442298","0.2453865283093041","4.67569992916825"
